inventoryNumber,deviceType,model,serialNumber,status
2003,Tablet,Apple iPad 12,OP1239992,Available
2004,Tablet,Apple iPad 12,OP0129391,Available
2005,Tablet,Apple iPad 12,OP8283822,Available
2006,Tablet,Apple iPad 12,OP9550202,Available
2007,Tablet,Apple iPad 12,OP2928488,Available
2008,Tablet,Apple iPad 12,OP0983111,Available
2009,Tablet,Apple iPad 12,OP1239992,Damaged
2010,Tablet,Apple iPad 12,OP0129391,Damaged
2011,Tablet,Apple iPad 12,OP8283822,Available
2012,Tablet,Apple iPad 12,OP9550202,Available
2013,Tablet,Apple iPad 12,OP2928488,Available
2014,Tablet,Apple iPad 12,OP0983111,Available
2015,Tablet,Apple iPad 12,OP1239992,Available
